Country,Gini coefficient,EPI.new,Public spending on education as a share of GDP,Average years of schooling,PrimaryEnrollmentRate,Government Effectiveness,Political Stability and Absence of Violence/Terrorism,Rule of Law,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
Armenia,0.27945295,48.3,2.4919,11.344978,94.64003,-0.314792365,-0.740756273,-0.169515803,5.342,9.615,0.79,67.789,0.796,0.705,-0.155
Austria,0.30701602,66.5,4.7744713,12.361465,98.32408,1.464922786,0.648710012,1.704273224,7.097,10.899,0.888,71.15,0.855,0.497,0.102
Bangladesh,0.33373156,23.1,1.7118367,6.79,92.71376,-0.763355315,-1.046462059,-0.601690114,4.282,8.685,0.544,64.548,0.845,0.698,0.005
Belgium,0.2657763,58.2,6.35552,12.689651,98.77575,1.227186441,0.581981599,1.348230839,6.859,10.844,0.915,70.899,0.825,0.549,0.001
Benin,0.34395808,29.6,3.377859,3.1942,90.38979,-0.170590237,-0.34320268,-0.59610939,4.374,8.103,0.437,56.095,0.743,0.576,-0.043
Bolivia,0.40913323,40.1,7.5755,10.021223,96.61875,-0.564738214,-0.191908553,-1.301404238,5.684,8.985,0.811,63.599,0.868,0.846,-0.063
Brazil,0.5201522,43.6,5.49698,8.425372,96.01554,-0.588259339,-0.395036936,-0.257879138,6.125,9.582,0.836,65.749,0.801,0.738,-0.009
Bulgaria,0.3900545,51.9,4.73033,11.454531,94.70402,-0.271232963,0.31342864,-0.10792271,5.466,10.087,0.918,66.5,0.801,0.911,-0.057
Burkina Faso,0.37391287,35.5,5.276512,2.26655,67.752,-0.853148699,-1.815369368,-0.611933768,4.638,7.667,0.663,55.461,0.696,0.771,0.095
Cameroon,0.42176074,30.2,2.6176844,6.5741806,96.06669,-0.881507814,-1.379629254,-1.038935661,4.973,8.217,0.686,55.847,0.686,0.846,0.015
Chad,0.373575,28.1,2.538673,2.3349848,71.60776,-1.423673511,-1.470404863,-1.37356174,4.397,7.261,0.722,53.125,0.677,0.807,0.221
Chile,0.4304274,46.7,4.99924,11.291054,98.70712,0.546218276,0.132084325,0.688454449,6.334,10.114,0.889,70.3,0.792,0.823,-0.011
Costa Rica,0.47151324,46.3,6.24842,8.844752,94.01323,0.052602667,0.956596434,0.435932785,6.609,9.952,0.872,70,0.895,0.768,-0.07
Croatia,0.28895962,60.2,4.05666,12.095121,98.26719,0.58131361,0.672563255,0.367797107,6.125,10.341,0.917,68.95,0.757,0.925,-0.093
Cyprus,0.3125177,58,5.23586,12.557372,99.16003,0.730335236,0.423811227,0.570125759,6.13,10.611,0.826,72.802,0.724,0.86,-0.06
Denmark,0.28323486,77.9,5.2964344,13.027321,99.4135,1.990135074,0.868917704,1.899580598,7.586,10.962,0.954,71.25,0.934,0.196,0.134
